"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","gene_clean","symbol","entrez_id","description"
321.89784350454,2.72436833989796,0.317345458738661,5.90457445872434e-20,7.51888511573957e-16,"SEPTIN4","SEPTIN4","SEPTIN4","5414","septin 4"
250.712712354945,2.45311108186535,0.291055972817932,5.36377473115036e-19,3.41511537132343e-15,"SAMD4A","SAMD4A","SAMD4A","23034","sterile alpha motif domain containing 4A"
861.940477798001,2.83456791265021,0.355583481428888,2.8468068385314e-18,1.20837460939529e-14,"CALHM6","CALHM6","CALHM6","441168","calcium homeostasis modulator family member 6"
24514.0239000107,2.3101967388137,0.28599324602024,3.83727963119871e-18,1.22159797059211e-14,"IFITM3","IFITM3","IFITM3","10410","interferon induced transmembrane protein 3"
5678.19212685862,1.97428532249789,0.243880308083335,8.34168037338972e-18,2.12445915749489e-14,"OAS1","OAS1","OAS1","4938","2'-5'-oligoadenylate synthetase 1"
275.641477153894,2.89809717783646,0.379925519593777,7.52758378659021e-17,1.369375027692e-13,"ATF3","ATF3","ATF3","467","activating transcription factor 3"
331.079957603751,1.73268667995376,0.218217067051276,7.45672556685086e-17,1.369375027692e-13,"C2","C2","C2","717","complement C2"
913.594322408053,2.1275031815602,0.274794879589145,1.1746595732015e-16,1.86976437564348e-13,"MYOF","MYOF","MYOF","26509","myoferlin"
4935.16793352737,2.36302246300556,0.312358387611017,1.64427335179448e-16,2.3264640957501e-13,"LAP3","LAP3","LAP3","51056","leucine aminopeptidase 3"
332.633022992738,1.84010672811598,0.253285367750047,1.00741513010859e-14,1.28284242668028e-11,"SPATS2L","SPATS2L","SPATS2L","26010","spermatogenesis associated serine rich 2 like"
183.092894348269,1.89586317177659,0.265174915728674,2.99308668940732e-14,3.46490599117389e-11,"EXOC3L1","EXOC3L1","EXOC3L1","283849","exocyst complex component 3 like 1"
2901.2809312984,1.67919891031931,0.242024902886726,8.8056937385026e-14,9.34430867217434e-11,"ODF3B","ODF3B","ODF3B",NA,NA
